site,threshold_type,t1limit,t1colour,t1label,t2limit,t2colour,t2label,t3limit,t3colour,t3label,t4limit,t4colour,t4label,t5limit,t5colour,t5label,t6limit,t6colour,t6label,t1enable,t2enable,t3enable,t4enable,t5enable,t6enable
HY Temp Site 9,Flow,0.3,4,Motupiko low flow below 300 l/s,1.2,4,Motupiko median flow 300-1200 l/s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0
HY Takaka at Harwoods,Flow,627,13,20 Year Flood 627 m3/s (2021),438,13,5 Year Flood 438 m3/s (2021),767,13,50 Year Flood 767 m3/s (2021),529,13,10 Year Flood 529 m3/s (2021),350,13,Annual Flood 350 m3/s (2021),885,13,100 Year Flood 885 m3/s (2021),1,1,1,1,1,1
HY Wai-iti at Livingston Rd,Flow,181,13,Annual Flood 181 m3/s (2019),256,13,5 Year Flood 256 m3/s (2019),317,13,10 Year Flood 317 m3/s (2019),375,13,20 Year Flood 375 m3/s (2019),0.1,13,Rationing: 100 l/s,398,13,Highest on Record 398 m3/s 10-07-1983,1,1,0,1,0,1
HY Wangapeka at Walter Peak,Flow,532,13,Annual Flood 532 m3/s (2021),694,13,5 Year Flood 694 m3/s (2021),825,13,10 Year Flood 825 m3/s (2021),951,13,20 Year Flood 951 m3/s (2021),1114,13,50 Year Flood 1114 m3/s (2021),1057,58,Highest on Record 1057 m3/s 05-10-1998,1,1,1,1,1,1
HY Waiwhero at Gravel Pit,Flow [Water Level for small streams],0,13,Zero Flow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0
HY Baton at Baton Flats,Flow,212,13,Annual Flood 212 m3/s (2022),281,13,5 Year Flood 281 m3/s (2022),338,13,10 Year Flood 338 m3/s (2022),390,13,20 Year Flood 390 m3/s (2022),462,13,50 Year Flood 462 m3/s (2022),452,58,Highest on Record 452 m3/s 44 yr ARI 18-04-2014,1,1,1,1,1,1
HY Riwaka North at Littles,Flow,47,13,Annual Flood 47 m3/s (2021),59,13,5 Year Flood 59 m3/s (2021),69,13,10 Year Flood 69 m3/s (2021),78,13,20 Year Flood 78 m3/s (2021),89,13,50 Year Flood 89 m3/s (2021),93.7,58,Highest on Record 93.7 m3/s 10-07-1983,0,0,0,0,0,0
HY Motueka at Gorge,Flow,271,13,Annual Flood 271 m3/s (2019),341,13,5 Year Flood 341 m3/s (2019),432,13,10 Year Flood 432 m3/s (2019),536,13,20 Year Flood 536 m3/s (2019),702,13,50 Year Flood 702 m3/s (2019),800,58,Highest on Record 800 m3/s 23-02-1995,1,1,1,1,1,1
HY Tadmor at Mudstone,Flow,62,13,Annual Flood 62 m3/s (2021),78,13,5 Year Flood 78 m3/s (2021),92,13,10 Year Flood 92 m3/s (2021),104,13,20 Year Flood 104 m3/s (2021),121,13,50 Year Flood 121 m3/s (2021),110,58,Highest on Record 110 m3/s 10-07-1983,1,1,1,1,1,1
HY Anatoki at Happy Sams,Flow,365,13,Annual Flood 365 m3/s (2021),1.8,47,1.80,2.132,13,7 day MALF 2.132 m3/s (2019),499,13,10 Year Flood 499 m3/s (2021),439,13,5 Year Flood 439 m3/s (2021),2.08,52,2.08,1,0,0,1,1,0
HY Orphanage at Ngawhatu,Flow [Water Level for small streams],11000,13,Annual Flood 11 m3/s (2022),14500,13,5 Year Flood 14.5 m3/s (2022),22500,13,10 Year Flood 22.5 m3/s (2022),33500,13,20 Year Flood 33.5 m3/s (2022),54000,13,50 Year Flood 54 m3/s (2022),57000,58,Highest on Record 57 m3/s 21-04-2013,1,1,1,1,1,1
HY Motueka at Woodmans Bend,Flow,1212,13,Annual Flood 1212 m3/s (2021),1540,13,5 Year Flood 1540 m3/s (2021),1806,13,10 Year Flood 1806 m3/s (2021),2062,13,20 Year Flood 2062 m3/s (2021),2393,13,50 Year Flood 2393 m3/s (2021),1777,58,Highest on Record 1777 m3/s 17-07-2021,0,0,0,0,0,0
HY Brook at Seymour Ave,Flow,16.8,13,Annual Flood 16.8 m3/s (2022),25.4,13,5 year Flood 25.4 m3/s (2022),32.3,13,10 year Flood 32.3 m3/s (2022),40.2,58,Highest on Record 40.2 m3/s 20-08-2022,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0
HY Wai-iti Combined,Flow,175,13,Annual,254,13,5 ARI,318,13,10 ARI,380,13,20 ARI,460,13,50 ARI,519,13,100 ARI,1,1,1,1,1,1
HY Wairoa at Gorge 2,Flow,718,13,Annual Flood 718 m3/s (2021),930,13,5 Year Flood  930 m3/s (2021),1078,13,10 Year Flood 1078 m3/s (2021),1212,13,20 Year Flood 1212 m3/s (2021),NA,NA,NA,NA,NA,NA,1,1,1,1,0,0
HY Motupiko at Christies,Flow,0.203,13,203 l/s Rainy River Cease Take,50,13,Annual Flood 50 m3/s (2021),59,13,5 year Flood 59 m3/s (2021),74,13,10 year Flood 74 m3/s (2021),95,13,20 year Flood 95 m3/s (2021),169,58,Highest on Record 169 m3/s 25/03/2005,0,1,1,1,1,1
HY Takaka at Kotinga,Flow,1082,13,Annual Flood 1082 m3/s (2021),1322,13,5 Year Flood 1322 m3/s (2021),1517,13,10 Year Flood 1517 m3/s (2021),3.225,13,7 day MALF 3.225 m3/s,2.158,13,Status Quo Stage 1,1.828,58,Status Quo Stage 2,1,1,1,0,0,0
HY Wairoa at Irvines,Flow,6,13,take recommence at 7day move mean of 6m3/s,3,52,threshold 3000 l/s,2.75,57,threshold 2750 l/s,2.3,4,threshold 2300 l/s,9500,13,1986 flood - Largest on record,8200,13,Road at Brightwater Bridge may flood,0,0,1,1,0,0
HY Wakapuaka at Hira,Flow,64,13,Annual Flood 64 m3/s (2022),90,13,5 Year Flood 90 m3/s (2022),119,13,10 Year Flood 119 m3/s (2022),151,13,20 Year Flood 151 m3/s (2022),197,13,50 Year Flood 197 m3/s (2022),204,58,Highest on Record 204 m3/s 23-02-1995,1,1,1,1,1,1
HY Riwaka at Hickmotts,Flow,106.5,13,Annual Flood 106.5 m3/s (2021),138,13,5 Year Flood 138 m3/s (2021),164,13,10 Year Flood 164 m3/s (2021),188,13,20 Year Flood 188 m3/s (2021,1.015,13,Rostering Trigger: 1015 l/s,200,58,Highest on Record 200 m3/s 20-02-2018,1,1,1,0,0,0
HY Onekaka at u-s Ironstone Ck,Flow [Water Level for small streams],30,13,30 l/s residual flow limit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0
HY Waitui at Above Intake,Flow [Water Level],0.2,13,200 l/s cease take Waitui Scheme,0.25,42,250 l/s recommence take Waitui Scheme,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0
HY Fish Creek at Pupu Springs,Flow,17,13,Annual Flood 17 m3/s (2014),0.2,13,200 l/s,0.599,13,90% MALF 599 l/s,NA,NA,NA,NA,NA,NA,26,58,Highest on Record 26 m3/s 16-06-2013,0,0,0,0,0,0
HY Maitai at Avon Tce,Flow,124,13,Annual Flood 124 m3/s (2019),167,13,5 Year Flood 167 m3/s (2019),201,13,10 Year Flood 201 m3/s (2019),235,13,20 Year Flood 235 m3/s (2019),278,13,50 Year Flood 278 m3/s (2019),237,58,Highest on Record 237 m3/s 14-12-2011,0,0,0,0,0,0
HY Wairoa Combined,Flow [Combined Data],3,1,3000 l/s,2.75,1,2750 l/s,2.3,1,2300 l/s,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
HY Maitai Sth at Above Old Intake,Flow,43,13,Annual Flood 43 m3/s (2014),56,13,5 Year Flood 56 m3/s (2014),66,13,10 Year Flood 66 m3/s (2014),76,13,20 Year Flood 76 m3/s (2014),89,13,50 Year Flood 89 m3/s (2014),92,58,Highest on Record 92 m3/s 15-04-1983,1,1,1,1,1,1
HY Buller at Longford,Flow,723,13,Annual Flood 723 m3/s (2021),905,13,5 Year Flood 905 m3/s (2021),1039,13,10 Year Flood 1039 m3/s (2021),1163,13,20 Year Flood 1163 m3/s (2021),1316,13,50 Year Flood 1316 m3/s (2021),1383,58,Highest Record 1383 m3/s 27-10-1998,1,1,1,1,1,1
HY Sherry at Blue Rock,Flow,76,13,Annual Flood 76 m3/s (2014),98,13,5 Year Flood 98 m3/s (2014),116,13,10 Year Flood 116 m3/s (2014),133,13,20 Year Flood 133 m3/s (2014),155,13,50 Year Flood 133 m3/s (2014),110,58,Highest on Record 110 m3/s (2014),1,1,1,1,1,1
HY Wai-iti at Belgrove,Flow,44,13,Annual Flood 44 m3/s (2021),58,13,5 Year Flood 58 m3/s (2021),70,13,10 Year Flood 70 m3/s (2021),81,13,20 Year Flood 81 m3/s (2021),95,13,50 Year Flood 95 m3/s (2021),84,58,Highest on Record 84 m3/s 14-12-2011,1,1,1,1,1,1
GW 6013 - Pupu Main Spring,Flow [Groundwater],12,13,Annual Flood 12 m3/s (2014),7.661,13,7 day MALF 7.661 m3/s,7.661,13,Proposed Cease Take 7.661 m3/s,6.53,9,Status Quo S1,6.24,4,Status Quo S2,15,58,Highest on Recod 15 m3/s 15-12-2011,0,0,0,0,0,0
HY Waikoropupu at Springs River,Flow,30.5,13,Annual Flood 30.5 m3/s (2021),58,58,Highest on Record 58 m3/s 16-06-2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
HY Takaka at Harwoods UTI,Flow [Water Level],1.63,13,Cease take 1.630 m3/s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0
HY Riwaka South at Moss Bush,Flow,53,13,Annual Flood 53 m3/s (2021),69,13,5 Year Flood 69 m3/s (2021),81,13,10 Year Flood 81 m3/s (2021),93,13,20 Year Flood 93 m3/s (2021),109,13,50 Year Flood 109 m3/s (2021),117,58,Highest on Record 117 m3/s 01-04-1975,0,0,0,0,0,0
HY Roding at Caretakers,Flow,105,13,Annual Flood 105 m3/s (2014),133,13,5 Year Flood 133 m3/s (2014),166,13,10 Year Flood 166 m3/s (2014),204,13,20 Year Flood 204 m3/s (2014),263,13,50 Year Flood 133 m3/s (2014),405,58,Highest on Record 405 m3/s 10-01-1985,1,1,1,1,1,1
HY Maitai at Smiths Ford,Flow [Water Level],120,13,5 Year Flood 120 m3/s,140,13,10 Year Flood 140 m3/s,160,13,20 Year Flood 160 m3/s,186,13,50 Year Flood 186 m3/s,206,13,100 Year Flood 206 m3/s,NA,NA,NA,1,1,1,1,1,0
HY Waingaro at Hanging Rock,Flow,3.585,13,7 day MALF 3.585 m3/s,3.08,4,5 year ARI (7day) 3.08 m3/s,539,13,Annual Flood 539 m3/s (2021),3.418,47,Proposed Rationing Trigger (50% cut) ,675,13,5 Year Flood 675 m3/s (2021,2.667,9,Status Quo S2,0,0,1,0,1,0
<Any Site>,Flow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HY Collins at Drop Structure,Flow,31,13,Annual Flood 31 m3/s (2022),42,13,5 Year Flood 42 m3/s (2022),54,13,10 Year Flood 54 m3/s (2022),68,13,20 Year Flood 68 m3/s (2022),90,13,50 Year Flood 90 m3/s (2022),123,58,Highest on Record 123 m3/s 05-02-2022,1,1,1,1,1,1
HY Maitai at Forks,Flow,85,13,Annual Flood 85 m3/s (2021),112,13,5 Year Flood 112 m3/s (2021),134,13,10 Year Flood 134 m3/s (2021),155,13,20 Year Flood 155 m3/s (2021),182,13,50 Year Flood 182 m3/s (2021),180,58,Highest on Record 180 m3/s 23-02-1995,1,1,1,1,0,1
HY Wairoa at Irvines,Flow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
HY Motueka at Woodstock,Flow,977,13,Annual Flood 977 m3/s (2021),1231,13,5 Year Flood 1211 m3/s (2021),1439,13,10 Year Flood 1412 m3/s (2021),1637,13,20 Year Flood 1637 m3/s (2021),1895,13,50 Year Flood 1895 m3/s (2021),2149,58,Highest on Record 2149 m3/s 10-07-1983,0,0,0,0,0,0
HY Aorere at Devils Boots,Flow,10.844,13,7 day MALF 10.844 m3/s (2020),2037,13,Annual Flood 2037 m3/s (2021),2342,13,5 Year Flood 2342 m3/s (2021),2591,13,10 Year Flood 2591 m3/s (2021),2829,13,20 Year Flood 2829 m3/s (2021),3367,13,100 Year Flood 3367 m3/s (2021),0,1,1,1,1,1
HY Wairoa at Irvines,Flow [Calculated Data],2.75,53,Step 1,2.3,4,Step 2,2.05,13,Step 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
HY Lee at Proposed Dam Site,Flow [Combined Data],5,13,5 cumecs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0
HY Matakitaki at Horse Terrace Br,Flow,575,13,Annual Flood (575 m3/s),730,13,5 Year Flood (730 m3/s),810,13,10 Year Flood (810 m3/s),NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0
HY Wakapuaka at Hira,Flow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HY Takaka at Kotinga,Flow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HY Waimea at TDC Nursery,Flow,0.8,1,800 l/s,809,13,Annual Flood 809 m3/s (2021),1017,13,5 Year Flood 1017 m3/s (2021),1186,13,10 Year Flood 1186 m3/s (2021),NA,NA,NA,NA,NA,NA,0,1,1,1,0,0
