OID,X,Y,New_Zealand_Elevation
17545,1521816.039,5452638.567,0
17546,1522816.039,5452638.567,0
17547,1523816.039,5452638.567,0
17548,1524816.039,5452638.567,35.174713
17549,1525816.039,5452638.567,359.148987
17550,1526816.039,5452638.567,477.551544
17551,1527816.039,5452638.567,686.680115
17552,1528816.039,5452638.567,914.418884
17553,1529816.039,5452638.567,933.03241
17554,1530816.039,5452638.567,818.585449
17555,1531816.039,5452638.567,880.005249
17556,1532816.039,5452638.567,774.19928
17557,1533816.039,5452638.567,550.002441
17558,1534816.039,5452638.567,683.716553
17559,1535816.039,5452638.567,900.01355
17560,1536816.039,5452638.567,917.726318
17561,1537816.039,5452638.567,1062.563599
17562,1538816.039,5452638.567,1072.126953
17563,1539816.039,5452638.567,667.966003
17564,1540816.039,5452638.567,818.177612
17565,1541816.039,5452638.567,1165.104126
17566,1542816.039,5452638.567,780.901062
17567,1543816.039,5452638.567,1073.983887
17568,1544816.039,5452638.567,1211.803833
17569,1545816.039,5452638.567,1263.151611
17570,1546816.039,5452638.567,1236.490356
17571,1547816.039,5452638.567,1064.3302
17572,1548816.039,5452638.567,1374.474609
17573,1549816.039,5452638.567,1236.032715
17574,1550816.039,5452638.567,1045.866333
17575,1551816.039,5452638.567,1087.057861
17576,1552816.039,5452638.567,1103.202148
17577,1553816.039,5452638.567,862.562927
17578,1554816.039,5452638.567,628.965393
17579,1555816.039,5452638.567,869.068726
17580,1556816.039,5452638.567,1265.360596
17581,1557816.039,5452638.567,1384.679443
17582,1558816.039,5452638.567,1229.408203
17583,1559816.039,5452638.567,1429.616821
17584,1560816.039,5452638.567,1336.479614
17585,1561816.039,5452638.567,1042.74707
17586,1562816.039,5452638.567,1114.118652
17587,1563816.039,5452638.567,1408.296265
17588,1564816.039,5452638.567,1417.702026
17589,1565816.039,5452638.567,1236.632446
17590,1566816.039,5452638.567,1504.381714
17591,1567816.039,5452638.567,1442.62207
17592,1568816.039,5452638.567,1394.533081
17593,1569816.039,5452638.567,1282.733154
17594,1570816.039,5452638.567,1072.186401
17595,1571816.039,5452638.567,1217.259399
17596,1572816.039,5452638.567,1028.266113
17597,1573816.039,5452638.567,972.651123
17598,1574816.039,5452638.567,635.920654
17599,1575816.039,5452638.567,760.479797
17600,1576816.039,5452638.567,430.661438
17601,1577816.039,5452638.567,398.551941
17602,1578816.039,5452638.567,310.47229
17603,1579816.039,5452638.567,268.722534
17604,1580816.039,5452638.567,609.153687
17605,1581816.039,5452638.567,522.188477
17606,1582816.039,5452638.567,470.799835
17607,1583816.039,5452638.567,400.067291
17608,1584816.039,5452638.567,753.828857
17609,1585816.039,5452638.567,860.802917
17674,1521816.039,5453638.567,0
17675,1522816.039,5453638.567,0
17676,1523816.039,5453638.567,0
17677,1524816.039,5453638.567,28.978405
17678,1525816.039,5453638.567,392.329285
17679,1526816.039,5453638.567,545.74762
17680,1527816.039,5453638.567,815.321106
17681,1528816.039,5453638.567,944.000183
17682,1529816.039,5453638.567,958.530823
17683,1530816.039,5453638.567,912.767883
17684,1531816.039,5453638.567,857.588928
17685,1532816.039,5453638.567,743.173462
17686,1533816.039,5453638.567,589.177917
17687,1534816.039,5453638.567,536.771301
17688,1535816.039,5453638.567,625.110046
17689,1536816.039,5453638.567,758.792542
17690,1537816.039,5453638.567,995.447327
17691,1538816.039,5453638.567,1096.616455
17692,1539816.039,5453638.567,664.222168
17693,1540816.039,5453638.567,879.23114
17694,1541816.039,5453638.567,1411.279663
17695,1542816.039,5453638.567,1100.454346
17696,1543816.039,5453638.567,911.989563
17697,1544816.039,5453638.567,1117.239624
17698,1545816.039,5453638.567,1268.493042
17699,1546816.039,5453638.567,1147.967041
17700,1547816.039,5453638.567,1317.851318
17701,1548816.039,5453638.567,1195.575684
17702,1549816.039,5453638.567,1183.955444
17703,1550816.039,5453638.567,1273.62793
17704,1551816.039,5453638.567,1012.769531
17705,1552816.039,5453638.567,674.104309
17706,1553816.039,5453638.567,665.967041
17707,1554816.039,5453638.567,800.562134
17708,1555816.039,5453638.567,1155.317627
17709,1556816.039,5453638.567,1359.827148
17710,1557816.039,5453638.567,1500.302734
17711,1558816.039,5453638.567,1462.26001
17712,1559816.039,5453638.567,1352.499268
17713,1560816.039,5453638.567,1029.960938
17714,1561816.039,5453638.567,1009.294128
17715,1562816.039,5453638.567,1305.085938
17716,1563816.039,5453638.567,1417.789307
17717,1564816.039,5453638.567,1299.356323
17718,1565816.039,5453638.567,1133.929077
17719,1566816.039,5453638.567,1233.635498
17720,1567816.039,5453638.567,1261.654297
17721,1568816.039,5453638.567,1337.111084
17722,1569816.039,5453638.567,1385.046753
17723,1570816.039,5453638.567,1338.850098
17724,1571816.039,5453638.567,1258.515747
17725,1572816.039,5453638.567,1201.627808
17726,1573816.039,5453638.567,1053.410278
17727,1574816.039,5453638.567,841.189697
17728,1575816.039,5453638.567,768.413269
17729,1576816.039,5453638.567,486.390289
17730,1577816.039,5453638.567,678.340088
17731,1578816.039,5453638.567,582.386047
17732,1579816.039,5453638.567,371.239899
17733,1580816.039,5453638.567,396.216644
17734,1581816.039,5453638.567,513.86438
17735,1582816.039,5453638.567,353.267242
17736,1583816.039,5453638.567,282.436615
17737,1584816.039,5453638.567,432.977234
17738,1585816.039,5453638.567,671.097961
17803,1521816.039,5454638.567,0
17804,1522816.039,5454638.567,0
17805,1523816.039,5454638.567,0
17806,1524816.039,5454638.567,21.866386
17807,1525816.039,5454638.567,367.514648
17808,1526816.039,5454638.567,645.593994
17809,1527816.039,5454638.567,942.711243
17810,1528816.039,5454638.567,1023.277405
17811,1529816.039,5454638.567,1010.178772
17812,1530816.039,5454638.567,1009.103821
17813,1531816.039,5454638.567,807.764954
17814,1532816.039,5454638.567,855.722229
17815,1533816.039,5454638.567,765.504395
17816,1534816.039,5454638.567,634.545715
17817,1535816.039,5454638.567,878.433044
17818,1536816.039,5454638.567,733.202759
17819,1537816.039,5454638.567,957.831543
17820,1538816.039,5454638.567,1095.152588
17821,1539816.039,5454638.567,779.763184
17822,1540816.039,5454638.567,726.917358
17823,1541816.039,5454638.567,1205.843018
17824,1542816.039,5454638.567,1377.053955
17825,1543816.039,5454638.567,1094.650635
17826,1544816.039,5454638.567,1115.266602
17827,1545816.039,5454638.567,1092.911987
17828,1546816.039,5454638.567,1016.867065
17829,1547816.039,5454638.567,983.255249
17830,1548816.039,5454638.567,1163.526978
17831,1549816.039,5454638.567,889.465942
17832,1550816.039,5454638.567,753.25415
17833,1551816.039,5454638.567,623.108215
17834,1552816.039,5454638.567,816.247437
17835,1553816.039,5454638.567,919.233887
17836,1554816.039,5454638.567,769.109863
17837,1555816.039,5454638.567,1229.122559
17838,1556816.039,5454638.567,1404.104126
17839,1557816.039,5454638.567,1352.33667
17840,1558816.039,5454638.567,1276.624268
17841,1559816.039,5454638.567,1155.859985
17842,1560816.039,5454638.567,1100.210083
17843,1561816.039,5454638.567,1238.975952
17844,1562816.039,5454638.567,1105.116577
17845,1563816.039,5454638.567,961.034607
17846,1564816.039,5454638.567,848.84967
17847,1565816.039,5454638.567,774.3927
17848,1566816.039,5454638.567,787.308594
17849,1567816.039,5454638.567,740.480835
17850,1568816.039,5454638.567,774.905029
17851,1569816.039,5454638.567,848.793091
17852,1570816.039,5454638.567,808.433411
17853,1571816.039,5454638.567,871.720398
17854,1572816.039,5454638.567,1080.115356
17855,1573816.039,5454638.567,1135.554077
17856,1574816.039,5454638.567,964.497498
17857,1575816.039,5454638.567,860.260925
17858,1576816.039,5454638.567,805.295837
17859,1577816.039,5454638.567,696.601807
17860,1578816.039,5454638.567,744.369873
17861,1579816.039,5454638.567,429.870026
17862,1580816.039,5454638.567,293.653473
17863,1581816.039,5454638.567,413.423431
17864,1582816.039,5454638.567,325.221069
17865,1583816.039,5454638.567,186.687744
17866,1584816.039,5454638.567,262.723846
17867,1585816.039,5454638.567,338.391479
17932,1521816.039,5455638.567,0
17933,1522816.039,5455638.567,0
17934,1523816.039,5455638.567,0
