Length,Height
0.00000,3.77900
0.09148,3.77479
0.18296,3.77059
0.27444,3.76638
0.36593,3.76218
0.45741,3.75797
0.54889,3.75377
0.64037,3.74956
0.73185,3.74536
0.82333,3.74115
0.91481,3.73695
1.00630,3.73274
1.09778,3.72853
1.18926,3.72433
1.28074,3.72012
1.37222,3.71592
1.46370,3.71171
1.55519,3.70751
1.64667,3.70330
1.73815,3.69910
1.82963,3.69489
1.92111,3.69069
2.01259,3.68648
2.10407,3.68227
2.19556,3.67807
2.28704,3.67386
2.37852,3.66966
2.47000,3.66545
2.56148,3.66125
2.65296,3.65704
2.74444,3.65284
2.83593,3.64863
2.92741,3.64443
3.01889,3.64022
3.11037,3.63601
3.20185,3.63181
3.29333,3.62760
3.38481,3.62340
3.47630,3.61919
3.56778,3.61499
3.65926,3.61078
3.75074,3.60658
3.84222,3.60237
3.93370,3.59817
4.02519,3.59396
4.11667,3.58975
4.20815,3.58555
4.29963,3.58134
4.39111,3.57714
4.48259,3.57293
4.57407,3.56873
4.66556,3.56452
4.75704,3.56032
4.84852,3.55611
4.94000,3.55191
5.03148,3.54770
5.12296,3.54349
5.21444,3.53929
5.30593,3.53508
5.39741,3.53088
5.48889,3.52667
5.58037,3.52247
5.67185,3.51826
5.76333,3.51406
5.85481,3.50985
5.94630,3.50565
6.03778,3.50144
6.12926,3.49723
6.22074,3.49303
6.31222,3.48882
6.40370,3.48462
6.49519,3.48041
6.58667,3.47621
6.67815,3.47200
6.76963,3.46780
6.86111,3.46359
6.95259,3.45938
7.04407,3.45518
7.13556,3.45097
7.22704,3.44677
7.31852,3.44256
7.41000,3.43836
7.50148,3.43415
7.59296,3.42995
7.68444,3.42574
7.77593,3.42154
7.86741,3.41766
7.95889,3.41236
8.05037,3.40788
8.14185,3.40406
8.23333,3.39938
8.32481,3.39450
8.41630,3.39059
8.50778,3.39018
8.59926,3.38581
8.69074,3.37777
8.78222,3.36610
8.87370,3.35300
8.96519,3.34054
9.05667,3.32613
9.14815,3.30811
9.23963,3.29607
9.33111,3.28798
9.42259,3.28158
9.51407,3.27649
9.60556,3.26968
9.69704,3.26262
9.78852,3.25459
9.88000,3.24575
9.97148,3.23583
10.06296,3.22720
10.15444,3.21965
10.24593,3.21363
10.33741,3.20946
10.42889,3.20688
10.52037,3.20447
10.61185,3.20175
10.70333,3.19834
10.79481,3.19450
10.88630,3.19052
10.97778,3.18746
11.06926,3.18502
11.16074,3.18354
11.25222,3.18192
11.34370,3.18120
11.43519,3.18143
11.52667,3.18051
11.61815,3.17725
11.70963,3.17209
11.80111,3.16589
11.89259,3.15993
11.98407,3.15331
12.07556,3.14653
12.16704,3.14148
12.25852,3.13810
12.35000,3.13580
12.44148,3.13406
12.53296,3.13265
12.62444,3.13170
12.71593,3.13098
12.80741,3.13020
12.89889,3.12838
12.99037,3.12564
13.08185,3.12244
13.17333,3.11875
13.26481,3.11394
13.35630,3.10815
13.44778,3.10263
13.53926,3.09836
13.63074,3.09560
13.72222,3.09396
13.81370,3.09262
13.90519,3.09230
13.99667,3.09230
14.08815,3.09139
14.17963,3.08980
14.27111,3.08824
14.36259,3.08572
14.45407,3.08261
14.54556,3.08001
14.63704,3.07791
14.72852,3.07668
14.82000,3.07585
14.91148,3.07376
15.00296,3.07158
15.09444,3.07031
15.18593,3.06888
15.27741,3.06754
15.36889,3.06613
15.46037,3.06476
15.55185,3.06295
15.64333,3.06056
15.73481,3.05767
15.82630,3.05476
15.91778,3.05149
16.00926,3.04777
16.10074,3.04367
16.19222,3.04045
16.28370,3.03729
16.37519,3.03376
16.46667,3.02968
16.55815,3.02556
16.64963,3.02128
16.74111,3.01608
16.83259,3.00989
16.92407,3.00469
17.01556,3.00220
17.10704,3.00214
17.19852,3.00227
17.29000,3.00231
17.38148,3.00362
17.47296,3.00691
17.56444,3.01109
17.65593,3.01252
17.74741,3.01104
17.83889,3.00920
17.93037,3.00767
18.02185,3.00593
18.11333,3.00380
18.20481,3.00129
18.29630,3.00001
18.38778,2.99936
18.47926,2.99852
18.57074,2.99782
18.66222,2.99829
18.75370,2.99944
18.84519,2.99907
18.93667,2.99633
19.02815,2.99209
19.11963,2.98733
19.21111,2.98134
19.30259,2.97331
19.39407,2.96376
19.48556,2.95492
19.57704,2.94860
19.66852,2.94481
19.76000,2.94256
19.85148,2.94174
19.94296,2.94198
20.03444,2.94296
20.12593,2.94484
20.21741,2.94750
20.30889,2.95152
20.40037,2.95597
20.49185,2.96032
20.58333,2.96472
20.67481,2.96902
20.76630,2.97213
20.85778,2.97297
20.94926,2.97160
21.04074,2.96921
21.13222,2.96615
21.22370,2.96193
21.31519,2.95649
21.40667,2.95139
21.49815,2.94731
21.58963,2.94346
21.68111,2.93853
21.77259,2.93269
21.86407,2.92668
21.95556,2.92114
22.04704,2.91548
22.13852,2.90894
22.23000,2.90118
22.32148,2.89331
22.41296,2.88621
22.50444,2.87950
22.59593,2.87253
22.68741,2.86528
22.77889,2.85849
22.87037,2.85231
22.96185,2.84668
23.05333,2.84077
23.14481,2.83438
23.23630,2.82752
23.32778,2.82019
23.41926,2.81260
23.51074,2.80499
23.60222,2.79743
23.69370,2.78984
23.78519,2.78224
23.87667,2.77462
23.96815,2.76698
24.05963,2.75925
24.15111,2.75149
24.24259,2.74371
24.33407,2.73599
24.42556,2.72866
24.51704,2.72185
24.60852,2.71556
24.70000,2.70967
24.79148,2.70416
24.88296,2.69909
24.97444,2.69444
25.06593,2.69009
25.15741,2.68601
25.24889,2.68218
25.34037,2.67861
25.43185,2.67536
25.52333,2.67256
25.61481,2.67021
25.70630,2.66793
25.79778,2.66514
25.88926,2.66182
25.98074,2.65832
26.07222,2.65456
26.16370,2.65035
26.25519,2.64552
26.34667,2.64047
26.43815,2.63566
26.52963,2.63105
26.62111,2.62631
26.71259,2.62166
26.80407,2.61728
26.89556,2.61332
26.98704,2.60970
27.07852,2.60644
27.17000,2.60350
27.26148,2.60084
27.35296,2.59825
27.44444,2.59561
27.53593,2.59286
27.62741,2.58998
27.71889,2.58699
27.81037,2.58428
27.90185,2.58186
27.99333,2.57937
28.08481,2.57654
28.17630,2.57345
28.26778,2.57123
28.35926,2.56986
28.45074,2.56891
28.54222,2.56812
28.63370,2.56781
28.72519,2.56721
28.81667,2.56605
28.90815,2.56380
28.99963,2.56118
29.09111,2.55826
29.18259,2.55451
29.27407,2.54994
29.36556,2.54580
29.45704,2.54269
29.54852,2.54014
29.64000,2.53774
29.73148,2.53554
29.82296,2.53423
29.91444,2.53353
30.00593,2.53261
30.09741,2.53145
30.18889,2.53098
30.28037,2.53070
30.37185,2.52972
30.46333,2.52862
30.55481,2.53011
30.64630,2.53472
30.73778,2.54216
30.82926,2.55184
30.92074,2.56470
31.01222,2.58176
31.10370,2.60256
31.19519,2.62551
31.28667,2.65111
31.37815,2.67955
31.46963,2.71038
31.56111,2.74207
31.65259,2.77429
31.74407,2.80593
31.83556,2.83616
31.92704,2.86342
32.01852,2.88742
32.11000,2.90830
32.20148,2.92718
32.29296,2.94431
32.38444,2.96022
32.47593,2.97326
32.56741,2.98450
32.65889,2.99444
32.75037,3.00384
32.84185,3.01238
32.93333,3.01949
33.02481,3.02534
33.11630,3.03153
33.20778,3.03778
33.29926,3.04366
33.39074,3.04831
33.48222,3.05125
33.57370,3.05304
33.66519,3.05401
33.75667,3.05402
33.84815,3.05333
33.93963,3.05194
34.03111,3.05060
34.12259,3.05031
34.21407,3.05109
34.30556,3.05288
34.39704,3.05556
34.48852,3.05914
34.58000,3.06355
34.67148,3.06762
34.76296,3.07080
34.85444,3.07341
34.94593,3.07611
35.03741,3.07919
35.12889,3.08255
35.22037,3.08618
35.31185,3.09049
35.40333,3.09551
35.49481,3.10093
35.58630,3.10613
35.67778,3.11112
35.76926,3.11633
35.86074,3.12196
35.95222,3.12802
36.04370,3.13456
36.13519,3.14184
36.22667,3.14985
36.31815,3.15859
36.40963,3.16715
36.50111,3.17543
36.59259,3.18343
36.68407,3.19120
36.77556,3.19881
36.86704,3.20625
36.95852,3.21319
37.05000,3.21899
37.14148,3.22364
37.23296,3.22714
37.32444,3.23057
37.41593,3.23371
37.50741,3.23657
37.59889,3.23949
37.69037,3.24255
37.78185,3.24576
37.87333,3.24912
37.96481,3.25143
38.05630,3.25257
38.14778,3.25253
38.23926,3.25132
38.33074,3.25010
38.42222,3.24887
38.51370,3.24765
38.60519,3.24643
38.69667,3.24416
38.78815,3.24084
38.87963,3.23646
38.97111,3.23122
39.06259,3.22554
39.15407,3.21942
39.24556,3.21267
39.33704,3.20575
39.42852,3.19866
39.52000,3.19151
39.61148,3.18437
39.70296,3.17680
39.79444,3.16909
39.88593,3.16161
39.97741,3.15495
40.06889,3.14908
40.16037,3.14389
40.25185,3.13895
40.34333,3.13365
40.43481,3.12769
40.52630,3.12157
40.61778,3.11615
40.70926,3.11150
40.80074,3.10733
40.89222,3.10302
40.98370,3.09917
41.07519,3.09578
41.16667,3.09262
41.25815,3.08888
41.34963,3.08455
41.44111,3.07902
41.53259,3.07266
41.62407,3.06548
41.71556,3.05792
41.80704,3.05048
41.89852,3.04308
41.99000,3.03573
42.08148,3.02890
42.17296,3.02251
42.26444,3.01656
42.35593,3.01059
42.44741,3.00435
42.53889,2.99841
42.63037,2.99276
42.72185,2.98781
42.81333,2.98386
42.90481,2.98085
42.99630,2.97879
43.08778,2.97702
43.17926,2.97450
43.27074,2.97120
43.36222,2.96711
43.45370,2.96250
43.54519,2.95757
43.63667,2.95232
43.72815,2.94675
43.81963,2.94123
43.91111,2.93557
44.00259,2.92977
44.09407,2.92376
44.18556,2.91739
44.27704,2.91097
44.36852,2.90451
44.46000,2.89814
44.55148,2.89208
44.64296,2.88619
44.73444,2.88029
44.82593,2.87439
44.91741,2.86816
45.00889,2.86161
45.10037,2.85458
45.19185,2.84672
45.28333,2.83818
45.37481,2.82914
45.46630,2.81960
45.55778,2.80955
45.64926,2.79892
45.74074,2.78789
45.83222,2.77679
45.92370,2.76572
46.01519,2.75539
46.10667,2.74581
46.19815,2.73699
46.28963,2.72899
46.38111,2.72180
46.47259,2.71553
46.56407,2.71011
46.65556,2.70483
46.74704,2.69969
46.83852,2.69468
46.93000,2.69016
47.02148,2.68615
47.11296,2.68256
47.20444,2.67935
47.29593,2.67652
47.38741,2.67416
47.47889,2.67228
47.57037,2.67052
47.66185,2.66886
47.75333,2.66716
47.84481,2.66538
47.93630,2.66352
48.02778,2.66149
48.11926,2.65926
48.21074,2.65657
48.30222,2.65342
48.39370,2.64992
48.48519,2.64613
48.57667,2.64234
48.66815,2.63877
48.75963,2.63544
48.85111,2.63262
48.94259,2.63025
49.03407,2.62830
49.12556,2.62677
49.21704,2.62516
49.30852,2.62318
49.40000,2.62083
49.49148,2.61810
49.58296,2.61496
49.67444,2.61146
49.76593,2.60758
49.85741,2.60356
49.94889,2.60003
50.04037,2.59699
50.13185,2.59446
50.22333,2.59252
50.31481,2.59117
50.40630,2.59046
50.49778,2.59039
50.58926,2.59037
50.68074,2.59042
50.77222,2.59102
50.86370,2.59233
50.95519,2.59434
51.04667,2.59700
51.13815,2.60011
51.22963,2.60349
51.32111,2.60715
51.41259,2.61061
51.50407,2.61350
51.59556,2.61578
51.68704,2.61747
51.77852,2.61919
51.87000,2.62157
51.96148,2.62460
52.05296,2.62829
52.14444,2.63259
52.23593,2.63738
52.32741,2.64267
52.41889,2.64804
52.51037,2.65328
52.60185,2.65841
52.69333,2.66342
52.78481,2.66853
52.87630,2.67352
52.96778,2.67839
53.05926,2.68314
53.15074,2.68751
53.24222,2.69170
53.33370,2.69570
53.42519,2.69956
53.51667,2.70362
53.60815,2.70788
53.69963,2.71233
53.79111,2.71695
53.88259,2.72154
53.97407,2.72609
54.06556,2.73060
54.15704,2.73507
54.24852,2.73956
54.34000,2.74405
54.43148,2.74855
54.52296,2.75286
54.61444,2.75685
54.70593,2.76051
54.79741,2.76385
54.88889,2.76739
54.98037,2.77119
55.07185,2.77526
55.16333,2.77962
55.25481,2.78404
55.34630,2.78852
55.43778,2.79306
55.52926,2.79709
55.62074,2.80055
55.71222,2.80344
55.80370,2.80603
55.89519,2.80877
55.98667,2.81167
56.07815,2.81473
56.16963,2.81738
56.26111,2.81939
